うさぎさんのメルヘン空想図鑑 ときめく塗り絵シリーズ	1,430円（本体 1,300円＋税10%）	2023/3/7	cotolie　著
DaVinci Resolve よくばり入門 18対応（できるよくばり入門）	3,058円（本体 2,780円＋税10%）	2023/2/22	金泉太一　著
できる逆引き Googleアナリティクス4 成果を生み出す分析・改善ワザ 182	2,948円（本体 2,680円＋税10%）	2023/2/22	木田 和廣　著/できるシリーズ編集部　著
After Effects よくばり入門 CC対応（できるよくばり入門）	2,992円（本体 2,720円＋税10%）	2023/2/21	中野魁人　著
マンガと図解でよくわかる お金の基本 高校生でも理解できる資産形成＆増やし方	1,430円（本体 1,300円＋税10%）	2023/1/24	酒井 富士子　著
iPhone芸人かじがや卓哉のスゴいiPhone 14　 超絶便利なテクニック136 14/Plus/Pro/Pro MaX　13/12/SE第2、3世代/11/X/8対応	1,628円（本体 1,480円＋税10%）	2023/1/23	かじがや卓哉　著
できるJw_cad 8	3,080円（本体 2,800円＋税10%）	2023/1/12	ObraClub　著/できるシリーズ編集部　著
Web3.0の教科書	2,530円（本体 2,300円＋税10%）	2023/1/11	のぶめい　著
かんたん合格ITパスポート過去問題集 令和5年度 春期	1,298円（本体 1,180円＋税10%）	2022/12/22	間久保 恭子　著
2023年版 合格しようぜ！宅建士 過去15年問題集 音声解説付き	2,530円（本体 2,300円＋税10%）	2022/12/22	宅建ダイナマイト合格スクール　著
知識ゼロですが、つみたてNISAとiDeCoの次はどんな投資をすればよいですか。	1,320円（本体 1,200円＋税10%）	2022/12/21	横山光昭　著/ペロンパワークス　編
社会人10年目のビジネス学び直し パフォーマンスを最大化する キーボード操作虎の巻	1,650円（本体 1,500円＋税10%）	2022/12/21	石田かのこ　著
はやくちよこれいと	1,540円（本体 1,400円＋税10%）	2022/12/21	吉田明世　著/カタスケ　著/今津良樹（いまづよしき）　イラスト
できるポケット 必修アプリ超活用 Microsoft Teams全事典 改訂版	1,518円（本体 1,380円＋税10%）	2022/12/20	太田 浩史　著/できるシリーズ編集部　著
徹底攻略 情報セキュリティマネジメント教科書 令和5年度	1,958円（本体 1,780円＋税10%）	2022/12/20	株式会社わくわくスタディワールド 瀬戸美月　著/株式会社わくわくスタディワールド 齋藤健一　著
ゲームで学ぶJavaScript入門 増補改訂版～ブラウザゲームづくりでHTML＆CSSも身につく！	2,640円（本体 2,400円＋税10%）	2022/12/20	田中 賢一郎　著
Python機械学習プログラミング PyTorch＆scikit-learn編	4,620円（本体 4,200円＋税10%）	2022/12/15	Sebastian Raschka　著/Yuxi (Hayden) Liu　著/Vahid Mirjalili　著/株式会社クイープ　訳/福島真太朗　監修
世界一やさしいLINE 2023 最新版	528円（本体 480円＋税10%）	2022/12/12	リブロワークス　編
へたっぴさんのための表情＆ポーズの描き方入門	1,320円（本体 1,200円＋税10%）	2022/12/7	森永みぐ　著
先読み！IT×ビジネス講座 メタバース&NFT	1,540円（本体 1,400円＋税10%）	2022/12/6	斎藤創　著/佐野典秀　著/酒井麻里子　著
できるOutlookパーフェクトブック 困った！＆便利ワザ大全 Office 2021＆Microsoft 365対応	1,848円（本体 1,680円＋税10%）	2022/12/2	三沢友治　著/できるシリーズ編集部　著
できるWindows 11 2023年 改訂2版	1,100円（本体 1,000円＋税10%）	2022/12/1	法林岳之　著/一ヶ谷兼乃　著/清水理史　著/できるシリーズ編集部　著
プロセスマイニング 理解と実践─業務プロセス改革を進化させる最終手段	2,178円（本体 1,980円＋税10%）	2022/11/30	近藤裕司　著/百瀬公朗　監修
PC自作・チューンナップ虎の巻 2023【DOS/V POWER REPORT 特別編集】	1,980円（本体 1,800円＋税10%）	2022/11/29	竹内亮介　著/加藤勝明　著/芹澤正芳　著
世界一やさしい エクセル ワード 2021	748円（本体 680円＋税10%）	2022/11/29	トップスタジオ　編
世界一やさしいiPhone 14　Plus/Pro/Pro Max	638円（本体 580円＋税10%）	2022/11/29	TEKIKAKU　著
かんたん合格 ITパスポート教科書&必須問題 令和5年度	1,628円（本体 1,480円＋税10%）	2022/11/24	坂下 夕里　著/ラーニング編集部　著
銀行とデザイン デザインを企業文化に浸透させるために	1,760円（本体 1,600円＋税10%）	2022/11/22	金澤洋　著/金子直樹　著/堀 祐子　著
見てわかる、迷わず決まる配色アイデア 3色だけでセンスのいい色 PART2	1,980円（本体 1,800円＋税10%）	2022/11/22	ingectar-e　著
徹底攻略 基本情報技術者教科書 令和5年度	1,738円（本体 1,580円＋税10%）	2022/11/22	月江 伸弘　著
デジタルカメラマガジン2022年12月号	1,200円（本体 1,091円＋税10%）	2022/11/18	デジタルカメラマガジン編集部　編
いちばんやさしいEC担当者の教本 人気講師が教える新任1年目に身につけたい実務と知識	2,200円（本体 2,000円＋税10%）	2022/11/16	中島 郁　著/南茂 理恵　著
